GA,GF,GW,opponent,opponent_name,team,team_name,was_home,pts_won,pts_total,rating,rating_standardized,binned_rating
20,20,14,7,CRY,5,BUR,1,0,18,18,-0.05738333483503181,3
20,28,14,19,WHU,6,CHE,1,0,26,34,0.7772833536745207,5
18,13,14,5,BUR,7,CRY,0,3,18,13,-0.318216674994267,3
22,14,14,9,LEI,8,EVE,0,0,14,6,-0.6833833512171962,2
9,33,14,8,EVE,9,LEI,1,3,32,56,1.9249500503751553,6
12,32,14,4,BHA,10,LIV,1,3,40,60,2.1336167225025435,6
16,39,14,13,NEW,11,MCI,0,1,29,52,1.7162833782477673,6
17,21,14,2,AVL,12,MUN,1,1,18,22,0.15128333729235632,4
22,13,14,11,MCI,13,NEW,1,1,16,7,-0.6312166831853492,2
30,15,14,1,ARS,14,NOR,1,1,11,-4,-1.2050500315356665,1
13,17,14,20,WOL,15,SHU,0,1,19,23,0.20345000532420335,4
32,15,14,18,WAT,16,SOU,1,3,12,-5,-1.2572166995675136,1
21,24,14,3,BOU,17,TOT,1,3,20,23,0.20345000532420335,4
28,9,14,16,SOU,18,WAT,0,0,8,-11,-1.5702167077585958,1
23,17,14,6,CHE,19,WHU,0,3,16,10,-0.474716679089808,3
17,19,14,15,SHU,20,WOL,1,1,20,22,0.15128333729235632,4
23,21,15,4,BHA,1,ARS,1,0,19,17,-0.17043678482576488,3
24,22,15,6,CHE,2,AVL,0,0,15,13,-0.35981099018772583,3
21,18,15,7,CRY,3,BOU,0,0,16,13,-0.35981099018772583,3
22,18,15,1,ARS,4,BHA,0,3,18,14,-0.3124674388472356,3
24,21,15,11,MCI,5,BUR,1,0,18,15,-0.26512388750674537,3
21,30,15,2,AVL,6,CHE,1,3,29,38,0.8237777933245299,5
18,14,15,3,BOU,7,CRY,1,3,21,17,-0.17043678482576488,3
27,16,15,10,LIV,8,EVE,0,0,14,3,-0.8332465035926281,2
9,35,15,18,WAT,9,LEI,1,3,35,61,1.9126794741558053,6
14,37,15,8,EVE,10,LIV,1,3,43,66,2.1493972308582565,6
17,43,15,5,BUR,11,MCI,0,3,32,58,1.7706488201343344,6
18,23,15,17,TOT,12,MUN,1,3,21,26,0.25565517723864717,4
22,15,15,15,SHU,13,NEW,0,3,19,12,-0.40715454152821606,3
32,16,15,16,SOU,14,NOR,0,0,11,-5,-1.21199491431655,1
15,17,15,13,NEW,15,SHU,1,0,19,21,0.018937420536196025,4
33,17,15,14,NOR,16,SOU,1,3,15,-1,-1.0226207089545891,1
23,25,15,12,MUN,17,TOT,0,0,20,22,0.06628097187668626,4
30,9,15,9,LEI,18,WAT,0,0,8,-13,-1.590743325040472,1
25,17,15,20,WOL,19,WHU,0,0,16,8,-0.596528746890177,2
17,21,15,19,WHU,20,WOL,1,3,23,27,0.3029987285791374,4
24,24,16,19,WHU,1,ARS,0,3,22,22,0.0,3
28,23,16,9,LEI,2,AVL,1,0,15,10,-0.5332986821730243,2
24,18,16,10,LIV,3,BOU,1,0,16,10,-0.5332986821730243,2
24,20,16,20,WOL,4,BHA,1,1,19,15,-0.3110908979342642,3
29,21,16,17,TOT,5,BUR,0,0,18,10,-0.5332986821730243,2
24,31,16,8,EVE,6,CHE,0,0,29,36,0.6221817958685284,5
18,14,16,18,WAT,7,CRY,0,1,22,18,-0.1777662273910081,3
28,19,16,6,CHE,8,EVE,1,3,17,8,-0.6221817958685284,2
10,39,16,2,AVL,9,LEI,0,3,38,67,1.9998700581488413,6
14,40,16,3,BOU,10,LIV,0,3,46,72,2.2220778423876015,6
19,44,16,12,MUN,11,MCI,1,0,32,57,1.555454489671321,6
19,25,16,11,MCI,12,MUN,0,3,24,30,0.3555324547820162,4
23,17,16,16,SOU,13,NEW,1,3,22,16,-0.26664934108651217,3
34,17,16,15,SHU,14,NOR,1,0,11,-6,-1.2443635917370568,1
16,19,16,14,NOR,15,SHU,0,3,22,25,0.13332467054325609,4
35,18,16,13,NEW,16,SOU,0,0,15,-2,-1.0665973643460487,1
23,30,16,5,BUR,17,TOT,1,3,23,30,0.3555324547820162,4
30,9,16,7,CRY,18,WAT,1,1,9,-12,-1.511012932823569,1
28,18,16,1,ARS,19,WHU,1,0,16,6,-0.7110649095640325,2
19,23,16,4,BHA,20,WOL,0,1,24,28,0.26664934108651217,4
